hexID,t.count,t.pos,t.neg,t.neu,i.count,i.pos,i.neg,i.neu,t.norm,i.norm,odds
91,2401,1408.79527583185,259.332786909006,704.941259264918,6576,3590.304390204,687.18650652142,1861.47334973605,0.478743227373112,0.441471697640294,0.392388812401447
92,17239,9662.35867433178,2223.52726808053,5088.11406621934,20303,10911.7801642736,2276.27518984837,5761.51455796447,0.431511770186858,0.425331476847031,0.88549792324147
93,74,35.9685166666667,15.9823333333333,21.0529666666667,1,0,0,0,0.270083558558559,0,0
94,45,23.1353333333333,7.74726666666667,13.1155666666667,1,0,0,0,0.341957037037037,0,0
95,2,0.939,0.539,0.522,1,0,0,0,0.2,0,0
96,2,0.835,0.701,0.463,1,0,0,0,0.0669999999999999,0,0
97,1,0,0,0,1,0,0,0,0,0,0
98,1,0,0,0,1,0,0,0,0,0,0
99,1,0,0,0,1,0,0,0,0,0,0
100,1,0.612,0.141,0.247,1,0,0,0,0.471,0,0
101,2,1.3175,0.1395,0.5435,1,0,0,0,0.589,0,0
102,4,2.1025,0.5305,1.3665,1,0,0,0,0.393,0,0
103,1,0,0,0,1,0,0,0,0,0,0
104,1,0.408666666666667,0.317666666666667,0.274,1,0,0,0,0.091,0,0
105,1,0,0,0,1,0,0,0,0,0,0
106,1,0,0,0,1,0,0,0,0,0,0
107,1,0.444,0.112,0.444,1,0,0,0,0.332,0,0
108,2,0.832,0.357,0.811,1,0,0,0,0.2375,0,0
109,175,100.827166666667,24.0375833333333,49.1549166666667,633,359.456038095238,69.6851212121212,169.889666883117,0.438797619047619,0.45777396032088,0.280499298887706
110,5068,2782.8023968365,780.215409527972,1401.24735135836,14729,8059.68327490179,1673.42776606553,4004.18970988646,0.395143446588107,0.433583780897295,0.345274411154874
111,1196,663.493468328893,169.988828876679,345.577525091575,2301,1291.2199047619,249.513803174603,623.396001190476,0.412629297200848,0.452718862054455,0.513850093142143
112,3,1.64633333333333,0.328,1.02433333333333,1,0,0,0,0.439444444444444,0,0
113,4,2.07933333333333,0.620333333333333,1.30133333333333,1,0,0,0,0.36475,0,0
114,103,57.4661611111111,15.1091666666667,26.4294222222222,62,32.46955,7.37028333333333,16.1632666666667,0.411232955771305,0.40482688172043,1.76984778388093
115,1,0,0,0,1,0,0,0,0,0,0
116,12,6.1965,1.9605,3.843,56,26.7253333333333,6.58633333333333,14.6864166666667,0.353,0.359625,0.231858660945919
117,3,1.7695,0.433,0.7985,4,0.984,0.5355,0.4805,0.4455,0.112125,1.79827235772358
118,1,0,0,0,1,0,0,0,0,0,0
119,1,0,0,0,1,0,0,0,0,0,0
120,7,2.978,2.23,1.79,1,0,0,0,0.106857142857143,0,0
121,4,1.825,1.003,1.172,1,0,0,0,0.2055,0,0
122,1,0,0,0,1,0,0,0,0,0,0
123,1,0.657,0.094,0.249,1,0,0,0,0.563,0,0
124,24,11.8295,5.09591666666667,7.07708333333333,1,0,0,0,0.280565972222222,0,0
125,11,4.175,3.28725,2.5375,1,0,0,0,0.0807045454545455,0,0
126,4,1.829,0.557166666666667,1.6155,1,0,0,0,0.317958333333333,0,0
127,1,0,0,0,1,0,0,0,0,0,0
128,2,1.061,0.382,0.557,1,0,0,0,0.3395,0,0
129,4,2.054,0.791,1.153,4,2.6095,0.4855,0.9035,0.31575,0.531,0.787123970109216
130,1,0,0,0,1,0,0,0,0,0,0
131,167,94.2475166666667,22.9171,46.8354666666667,1,0,0,0,0.427128243512974,0,0
132,557,311.370694047619,86.8707071428571,153.779922619048,353,186.485873809524,38.5406880952381,104.979861904762,0.403052041121655,0.419108174828005,1.66967442459289
133,2125,1149.90265772006,376.870527164502,589.456892929293,1332,717.410992532468,144.865993506494,385.771555519481,0.363779826143791,0.429838587857338,1.60285062494079
134,1252,650.690916115288,243.94361572264,337.410368479532,2361,1268.75960257243,262.890473948274,651.426306812632,0.324878035457387,0.426035209074186,0.512855953796136
135,799,417.618016666667,141.411888095238,224.004595238095,410,214.343130952381,53.752069047619,113.910561904762,0.345689772930449,0.391685516840883,1.94836202499741
136,2156,1212.68592430508,295.791328615098,612.621793170426,44,22.0291666666667,4.3473,13.6277833333333,0.425275786498137,0.401860606060606,55.049105699493
137,185,96.5504333333333,29.6429785714286,52.8156714285714,130,62.5891666666667,16.1939166666667,38.2205416666667,0.361661917631918,0.356886538461539,1.54260614856139
138,152,81.2591333333333,23.3960666666667,41.3504333333333,159,71.5226666666667,15.7948888888889,41.6865277777778,0.380678070175439,0.350489168413697,1.1361312031617
139,1,0,0,0,1,0,0,0,0,0,0
140,4,2.19483333333333,0.625333333333333,1.18016666666667,12,6.21356818181818,2.14198636363636,3.64386212121212,0.392375,0.339298484848485,0.353232356853465
141,16,8.4385,3.32075,4.24225,17,10.1496666666667,1.45353333333333,4.39613333333333,0.319859375,0.511537254901961,0.83140661433873
142,1,0,0,0,1,0,0,0,0,0,0
